Item number,SKU,Title,Current price,TCP price,Change $,Change %,Direction,Confidence,Matched to
227461084457,RBLOT-073026-00090-82693,2026 BOWMAN MEGA BOX EDGAR MONTERO #BCP-139 MOJO REFRACTOR 1ST PROSPECT,2.49,1.99,-0.50,-20.1%,DOWN,83%,
227461084428,RBLOT-073026-00066-34542,2026 Panini Prizm FIFA World Cup MIKEL OYARZABAL Silver Prizm Spain Soccer,2.79,1.99,-0.80,-28.7%,DOWN,83%,
227461084429,RBLOT-073026-00087-21293,2026 Panini Prizm FIFA World Cup DANI OLMO Wave Prizm Spain Soccer,2.49,1.99,-0.50,-20.1%,DOWN,85%,
227461084430,RBLOT-073026-00073-54307,2026 Panini Prizm FIFA World Cup KARIM ADEYEMI Orange Wave Prizm /125 Germany,2.79,3.69,+0.90,+32.3%,UP,100%,
227461084431,RBLOT-073026-00069-14496,2026 Panini Prizm FIFA World Cup NICO WILLIAMS Wave Prizm Spain Soccer,2.49,1.99,-0.50,-20.1%,DOWN,83%,
227461084432,RBLOT-073026-00080-67561,2026 Panini Prizm World Cup CHANCEL MBEMBA Fluorescent Blue Wave Prizm /225 COD,2.49,3.39,+0.90,+36.1%,UP,100%,
227461084433,RBLOT-073026-00082-50792,2022-23 Topps Chrome MLS COREY BAIRD Pink X Fractor Dynamo Soccer,2.49,2.39,-0.10,-4.0%,DOWN,88%,
227461084434,RBLOT-073026-00091-75264,2026 Bowman Chrome MAREK HOUSTON #BCP-16 Lazer Refractor 1st Prospect RC Twins,2.49,2.79,+0.30,+12.0%,UP,87%,
227461084435,RBLOT-073026-00088-53105,2026 Panini Prizm FIFA World Cup GIANLUCA PRESTIANNI Wave Prizm Argentina Soccer,2.49,1.99,-0.50,-20.1%,DOWN,87%,
227461084436,RBLOT-073026-00085-96467,2026 Panini Prizm FIFA World Cup JOAQUIN PANICHELLI Wave Prizm Argentina Soccer,4.99,1.99,-3.00,-60.1%,DOWN,85%,
227461084437,RBLOT-073026-00062-29623,2026 Panini Prizm World Cup JULIAN ALVAREZ Scorers Club Silver Prizm Argentina,3.29,3.19,-0.10,-3.0%,DOWN,68%,
227461084438,RBLOT-073026-00078-48585,2026 Panini Prizm World Cup ALESSANDRO CIRCATI Orange Wave Prizm /125 Australia,6.29,7.09,+0.80,+12.7%,UP,100%,
227461084439,RBLOT-073026-00064-92607,2026 Panini Prizm FIFA World Cup UNAI SIMON Wave Prizm Spain Soccer,2.49,2.19,-0.30,-12.0%,DOWN,87%,
227461084440,RBLOT-073026-00072-69966,2026 Panini Prizm FIFA World Cup PEDRI Aces Wave Prizm Spain Soccer,2.79,2.69,-0.10,-3.6%,DOWN,83%,
227461084441,RBLOT-073026-00084-40941,2026 Panini Prizm World Cup ANTONIO SILVA Fluorescent Blue Wave /225 Portugal,5.39,2.39,-3.00,-55.7%,DOWN,100%,
227461084442,RBLOT-073026-00068-87650,2026 Panini Prizm FIFA World Cup JESUS RODRIGUEZ Wave Prizm RC Spain Soccer,2.49,2.39,-0.10,-4.0%,DOWN,84%,
227461084444,RBLOT-073026-00083-35342,2026 Panini Prizm World Cup GABRIEL MARTINELLI Fluorescent Blue Wave /225 Brazil,4.99,5.79,+0.80,+16.0%,UP,100%,
227461084446,RBLOT-073026-00075-79219,2026 PANINI PRIZM WORLD CUP ALESSANDRO CIRCATI #140 FLUORESCENT BLUE WAVE /225,4.89,5.69,+0.80,+16.4%,UP,100%,
227461084447,RBLOT-073026-00071-10967,2026 Panini Prizm FIFA World Cup PEDRI Aces Silver Prizm Spain Soccer,2.99,2.69,-0.30,-10.0%,DOWN,83%,
227461084448,RBLOT-073026-00065-51405,2026 Panini Prizm FIFA World Cup EDSON ALVAREZ Global Reach Silver Prizm Mexico,2.59,2.39,-0.20,-7.7%,DOWN,87%,
227461084449,RBLOT-073026-00089-31625,2026 Bowman Chrome JORGE QUINTANA #BCP-93 Reptilian Refractor 1st Prospect RC,2.49,3.39,+0.90,+36.1%,UP,100%,
227461084450,RBLOT-073026-00067-48539,2026 Panini Prizm FIFA World Cup YEREMY PINO Wave Prizm Spain Soccer,2.49,1.99,-0.50,-20.1%,DOWN,85%,
227461084451,RBLOT-073026-00086-68461,2026 Panini Prizm FIFA World Cup PAU CUBARSI Wave Prizm Spain Soccer,2.49,1.99,-0.50,-20.1%,DOWN,74%,
227461084452,RBLOT-073026-00077-94329,2026 Panini Prizm World Cup LEON GORETZKA Fluorescent Blue Wave /225 Germany,2.49,3.39,+0.90,+36.1%,UP,100%,
227461084453,RBLOT-073026-00076-31245,2026 Panini Prizm World Cup FRANCK KESSIE Fluorescent Blue Wave Prizm /225 CIV,6.29,7.09,+0.80,+12.7%,UP,100%,
227461084454,RBLOT-073026-00074-10050,2026 Panini Prizm World Cup TREZEGUET Fluorescent Blue Wave Prizm /225 Egypt,8.29,4.49,-3.80,-45.8%,DOWN,86%,
227461084456,RBLOT-073026-00092-99502,2025-26 Topps Hoops YVES MISSI #HS-YM Hoops Signs Auto RC New Orleans Pelicans,3.25,4.09,+0.84,+25.8%,UP,100%,
227461084457,RBLOT-073026-00090-82693,2026 Bowman Mega Box EDGAR MONTERO #BCP-139 Mojo Refractor 1st Prospect RC A's,2.49,3.39,+0.90,+36.1%,UP,100%,
227461084458,RBLOT-073026-00081-09874,2026 Panini Prizm World Cup JOSHUA KIMMICH Fluorescent Blue Wave /225 Germany,2.99,3.89,+0.90,+30.1%,UP,100%,
227461084459,RBLOT-073026-00093-42036,2025-26 Topps Hoops TRAE YOUNG #293 Rainbow Gold And Green Foil /199 All-Star,6.39,7.19,+0.80,+12.5%,UP,100%,
227462336906,FBrelist-080426-0001,LUKE MCCAFFREY 2024 Panini Absolute Star Gazing #SG-LMY RC Rookie Football,2.49,1.99,-0.50,-20.1%,DOWN,86%,
227462336911,FBrelist-080426-0002,MICHAEL PENIX JR. 2024 Panini Illusions #4 RC Falcons Rookie Football,2.99,1.99,-1.00,-33.4%,DOWN,85%,
227462336918,FBrelist-080426-0005,XAVIER WORTHY 2024 Topps Chrome Rookies #208 RC KC Chiefs Football,2.99,1.99,-1.00,-33.4%,DOWN,76%,
227462336921,FBrelist-080426-0006,2024 Topps Chrome MARVIN HARRISON JR. FINESSE RC Rookie #F-5 Cardinals Football,3.49,1.99,-1.50,-43.0%,DOWN,88%,
227462336925,FBrelist-080426-0007,ROME ODUNZE 2024 Panini Absolute Star Gazing #SG-ROE RC Bears Rookie Football,2.99,1.99,-1.00,-33.4%,DOWN,79%,
227462336930,FBrelist-080426-0011,ANTHONY RICHARDSON PREMIER LEVEL 2023 Panini Select #117 RC Colts Rookie,3.99,1.99,-2.00,-50.1%,DOWN,79%,
227462336931,FBrelist-080426-0004,ROME ODUNZE 2024 Panini Illusions #14 RC Bears Rookie Football,2.99,1.99,-1.00,-33.4%,DOWN,74%,
227462336932,FBrelist-080426-0013,2023 Panini MOSAIC Football Ja'Marr Chase card #43 Cincinnati Bengals,2.99,1.99,-1.00,-33.4%,DOWN,60%,
227462336933,FBrelist-080426-0003,KEON COLEMAN 2024 Panini Absolute #BS-KCN RC Bills By Storm Rookie Football,2.99,1.99,-1.00,-33.4%,DOWN,89%,
227462336935,FBrelist-080426-0016,BROCK PURDY 2024 Panini Mosaic #190 49ERS Football,3.49,NO MATCH,,,NO PRICE,59%,
227462336937,FBrelist-080426-0014,JALEN HURTS 2023 Panini Absolute #28 Philadelphia Eagles Football,2.99,1.99,-1.00,-33.4%,DOWN,66%,
227462336938,FBrelist-080426-0017,JOE BURROW 2023 Panini Donruss #57 Bengals Football,3.49,1.99,-1.50,-43.0%,DOWN,60%,
227462336939,FBrelist-080426-0009,PATRICK MAHOMES II 2024 Panini Absolute #50 Football,2.99,1.99,-1.00,-33.4%,DOWN,87%,
227462336943,FBrelist-080426-0018,2023 Panini MOSAIC - #244 Brian Robinson Jr. Base Washington Commanders Football,1.50,NO MATCH,,,NO PRICE,58%,
227462336944,FBrelist-080426-0010,2024 Prizm CADE STOVER Football Orange Cracked Ice Prizm Rookie RC Texans #318,4.99,2.29,-2.70,-54.1%,DOWN,85%,
227462336969,FBrelist-080426-0012,2024 Donruss Optic TREY BENSON Rated Rookie #293 Cardinals RC Football,2.99,1.99,-1.00,-33.4%,DOWN,88%,
227462336974,FBrelist-080426-0021,2022 Panini Select Draft PICKS - Concourse #5 Chris Olave RC Buckeyes - Saints,1.99,1.99,+0.00,+0.0%,NO CHANGE,86%,
227462336985,FBrelist-080426-0015,2021 Select #31 Deebo Samuel 49ers RC Rookie Football,1.49,1.99,+0.50,+33.6%,UP,63%,
227462337005,FBrelist-080426-0023,2024 Topps Finest KEON COLEMAN Rookie Card Buffalo Bills #92 RC Football,2.99,1.99,-1.00,-33.4%,DOWN,72%,
227462337014,FBrelist-080426-0025,CONCOURSE TREVOR LAWRENCE 2024 Panini Select Silver #98 Silver Prizm Jaguars,3.99,1.99,-2.00,-50.1%,DOWN,76%,
227462337016,FBrelist-080426-0008,2024 Bowman Chrome U University Football PICK COMPLETE YOUR SET Pink Lava,3.49,1.99,-1.50,-43.0%,DOWN,81%,
227462337039,FBrelist-080426-0019,MOSIAC JOSH ALLEN 2024 Panini #22 Bills Football,2.99,NO MATCH,,,NO PRICE,59%,
227462337075,FBrelist-080426-0020,MOSIAC JORDAN LOVE PACKERS 2023 Panini #83 Football,3.49,2.69,-0.80,-22.9%,DOWN,68%,
227462337089,FBrelist-080426-0031,2023 Panini MOSAIC - Lamar Jackson #13 Ravens Football,3.49,1.99,-1.50,-43.0%,DOWN,87%,
227462337090,FBrelist-080426-0024,2024 Donruss Optic Rated Rookie DALLAS TURNER NEGATIVE Auto /325 #224 Vikings RC,31.09,39.09,+8.00,+25.7%,UP,100%,
227462337095,FBrelist-080426-0034,2022 Panini Select JOSH ALLEN Blue #100 Bills Football,1.99,1.99,+0.00,+0.0%,NO CHANGE,84%,
227462337098,FBrelist-080426-0030,2023 Panini MOSAIC - Keyshawn Johnson #81 Green Mosaic Prizm Jets Football,2.99,1.99,-1.00,-33.4%,DOWN,63%,
227462337101,FBrelist-080426-0026,2023 Panini Select Draft PICKS - Concourse Josh Allen #27 Blue Bills Football,1.49,1.99,+0.50,+33.6%,UP,86%,
227462337104,FBrelist-080426-0022,2024 Panini Donruss - RETRO 1994 Brock Bowers #29 RC Raiders Rookie Football,2.99,1.99,-1.00,-33.4%,DOWN,74%,
227462337111,FBrelist-080426-0028,JOE ALT 2024 Panini Absolute Rookies #105 Red white Blue RC Chargers Football,2.99,2.89,-0.10,-3.3%,DOWN,85%,
227462337113,FBrelist-080426-0032,ASHTON JEANTY 2024 Bowman University Chrome #17 RC Raiders Boise State Football,5.99,4.19,-1.80,-30.1%,DOWN,78%,
227462337115,FBrelist-080426-0035,2023 Panini MOSAIC - Amari Cooper #50 Browns Football,2.99,1.99,-1.00,-33.4%,DOWN,66%,
227462337116,FBrelist-080426-0033,CONCOURSE TUA TAGOVAILOA 2022 Panini Select #94 Dolphins Football,3.49,NO MATCH,,,NO PRICE,59%,
227462337121,FBrelist-080426-0029,2024 Panini MOSAIC - Bijan Robinson #9 Falcons Football,2.99,1.99,-1.00,-33.4%,DOWN,66%,
227462337126,FBrelist-080426-0027,2023 Panini MOSAIC - National Pride Lamar Jackson #260 Ravens Football,2.99,1.99,-1.00,-33.4%,DOWN,86%,
227462337133,FBrelist-080426-0040,FRANK GORE JR. 2024 Topps Finest Common #81 RC Bills Rookie Football,2.99,1.99,-1.00,-33.4%,DOWN,77%,
227462337135,FBrelist-080426-0036,ZAY FLOWERS 2024 Panini Mosaic #17 Ravens Football,2.99,NO MATCH,,,NO PRICE,58%,
227462337155,FBrelist-080426-0042,2024 Bowman Chrome University Football #182 Will Howard Ohio State Buckeyes,1.99,1.99,+0.00,+0.0%,NO CHANGE,64%,
227462337157,FBrelist-080426-0039,LADD MCCONKEY 2024 Panini Absolute Rookies #134 RC Chargers Football,2.99,1.99,-1.00,-33.4%,DOWN,68%,
227462337158,FBrelist-080426-0037,JA'MARR CHASE 2023 Panini Absolute #85 Bengals Football,3.49,NO MATCH,,,NO PRICE,57%,
227462337166,FBrelist-080426-0041,JAWHAR JORDAN 2024 Panini Prizm Rookies #346 RC Texans Football,2.99,NO MATCH,,,NO PRICE,57%,
227462337169,FBrelist-080426-0047,CHRISTIAN KIRK 2024 Panini Prizm Green Cracked Ice #131 Jaguars Football,2.99,3.89,+0.90,+30.1%,UP,100%,
227462337172,FBrelist-080426-0044,DAVID MONTGOMERY 2024 Panini Prizm #94 Lazer Prizm Lions Football,3.49,1.99,-1.50,-43.0%,DOWN,67%,
227462337178,FBrelist-080426-0048,LAIATU LATU FOOTBALL 2024 Panini Prizm #5 PRIZMATIC GREEN ICE COLTS RC ROOKIE,3.49,1.99,-1.50,-43.0%,DOWN,76%,
227462337179,FBrelist-080426-0052,ROBBY RAY 2025 Topps Series 2 #459 Gold Parallel #0651/2025 Giants Football,3.99,4.79,+0.80,+20.1%,UP,100%,
227462337180,FBrelist-080426-0049,MAXX CROSBY 2024 Panini Contenders Season Ticket Las Vegas Raiders NFL #52,2.99,1.99,-1.00,-33.4%,DOWN,80%,
227462337191,FBrelist-080426-0045,CHRIS OLAVE 2024 Panini Prizm #206 Black & White Checker Prizm Saints Football,4.99,1.99,-3.00,-60.1%,DOWN,71%,
227462337207,FBrelist-080426-0057,2025 Bowman #BP-53 Jacob Bresnahan Prospects Giants Baseball,1.49,1.99,+0.50,+33.6%,UP,60%,
227462337209,FBrelist-080426-0056,2023 Panini MOSAIC #13 Lamar Jackson Ravens Football,1.99,1.99,+0.00,+0.0%,NO CHANGE,87%,
227462337211,FBrelist-080426-0059,2024 Panini Prizm #89 John Elway Broncos Silver Prizm Football,1.49,NO MATCH,,,NO PRICE,58%,
227462337215,FBrelist-080426-0050,DEVONTEZ WALKER 2024 Panini Prizm Rookies #328 RC Ravens Football,2.99,1.99,-1.00,-33.4%,DOWN,60%,
227462337221,FBrelist-080426-0060,2023 Donruss Optic #CR-TT Tua Tagovailoa Chain Reaction Dolphins Football,2.99,1.99,-1.00,-33.4%,DOWN,86%,
227462337223,FBrelist-080426-0061,2023 Prestige LAMAR JACKSON XTRA POINTS Purple #/99 #24 Ravens Football,9.29,9.99,+0.70,+7.5%,UP,100%,
227462337226,FBrelist-080426-0053,BRENDEN RICE 2024 Panini Prizm Rookies #313 RC Chargers Football,2.99,NO MATCH,,,NO PRICE,59%,
227462337234,FBrelist-080426-0062,LADD MCCONKEY 2024 Panini Donruss Rated Rookie #328 RC chargers Football,3.49,1.99,-1.50,-43.0%,DOWN,68%,
227462337235,FBrelist-080426-0063,2024 Topps Bowman U Chrome Football CAM WARD Base #38 Miami Hurricanes,4.99,2.49,-2.50,-50.1%,DOWN,85%,
227462337241,FBrelist-080426-0054,2024 Topps Finest #288 Audric Estime Broncos Football,1.99,2.19,+0.20,+10.1%,UP,62%,
227462337247,FBrelist-080426-0055,2024 Panini Prizm #295 LaVar Arrington commanders Football,1.99,NO MATCH,,,NO PRICE,57%,
227462337251,FBrelist-080426-0058,2024 Donruss Optic #268 Luke McCaffrey Commanders RC Rookie Football,2.99,1.99,-1.00,-33.4%,DOWN,66%,
227462337252,FBrelist-080426-0065,2024 Panini CLEARLY Donruss Xavier Legette #16 Base The Rookies Panthers RC,2.99,3.89,+0.90,+30.1%,UP,100%,
227462337254,FBrelist-080426-0066,2024 Select XAVIER LEGETTE Rookie Swatches Prizm #RS-XLE RC /125 Patch Panthers,9.79,10.49,+0.70,+7.2%,UP,100%,
227462337267,FBrelist-080426-0069,BLAKE CORUM 2024 Panini Select #9 Rams Football,2.99,1.99,-1.00,-33.4%,DOWN,68%,
227462337268,FBrelist-080426-0070,JAYDEN DANIELS 2024 Panini Select #4 Commanders Football,3.99,1.99,-2.00,-50.1%,DOWN,63%,
